"filename", "language", "JSON with Comments", "Properties", "compressionTargetFile", "comment", "blank", "total"
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\01_General.png", "compressionTargetFile", 0, 0, 46, 0, 0, 46
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\01_General.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\02_POI.png", "compressionTargetFile", 0, 0, 47, 0, 0, 47
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\02_POI.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\03_Suburban.png", "compressionTargetFile", 0, 0, 72, 0, 0, 72
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\03_Suburban.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\04_CommonBNPC.png", "compressionTargetFile", 0, 0, 57, 0, 0, 57
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\04_CommonBNPC.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\05_Security.png", "compressionTargetFile", 0, 0, 49, 0, 0, 49
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\05_Security.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\06_Marker.png", "compressionTargetFile", 0, 0, 64, 0, 0, 64
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\06_Marker.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\07_Decoration.png", "compressionTargetFile", 0, 0, 47, 0, 0, 47
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\07_Decoration.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\08_Nature.png", "compressionTargetFile", 0, 0, 40, 0, 0, 40
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\08_Nature.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\Conditions.png", "compressionTargetFile", 0, 0, 47, 0, 0, 47
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\Conditions.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\Shop.png", "compressionTargetFile", 0, 0, 49, 0, 0, 49
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\Shop.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\Unbenannt.png", "compressionTargetFile", 0, 0, 43, 0, 0, 43
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\Unbenannt.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\1_Terrain.png", "compressionTargetFile", 0, 0, 52, 0, 0, 52
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\1_Terrain.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\2_Indoors.png", "compressionTargetFile", 0, 0, 50, 0, 0, 50
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\2_Indoors.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\3_POI.png", "compressionTargetFile", 0, 0, 51, 0, 0, 51
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\3_POI.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\4_Generall.png", "compressionTargetFile", 0, 0, 56, 0, 0, 56
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\4_Generall.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\5_Marker.png", "compressionTargetFile", 0, 0, 52, 0, 0, 52
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\5_Marker.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\6_Nature.png", "compressionTargetFile", 0, 0, 53, 0, 0, 53
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\6_Nature.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\7_Decoration.png", "compressionTargetFile", 0, 0, 60, 0, 0, 60
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\7_Decoration.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\8_Security.png", "compressionTargetFile", 0, 0, 59, 0, 0, 59
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\8_Security.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\9_Conditions.png", "compressionTargetFile", 0, 0, 52, 0, 0, 52
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameData\Tiled\TileSets\PNG\cache\9_Conditions.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\03_Suburban.png", "compressionTargetFile", 0, 0, 69, 0, 1, 70
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\GameSrc\PatnicRoom\scenes\Gameloop\PanicMode\03_Suburban.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\Content-Creator\Title.png", "compressionTargetFile", 0, 0, 239, 0, 0, 239
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\Content-Creator\Title.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\Content-Creator\actor.png", "compressionTargetFile", 0, 0, 5129, 0, 46, 5175
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\Content-Creator\actor.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\Content-Creator\items.png", "compressionTargetFile", 0, 0, 6140, 0, 36, 6176
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\Content-Creator\items.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\Content-Creator\kit.png", "compressionTargetFile", 0, 0, 8602, 0, 34, 8636
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\Content-Creator\kit.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\Content-Creator\mainMenue.png", "compressionTargetFile", 0, 0, 25784, 0, 142, 25926
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\Content-Creator\mainMenue.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\armor.png", "compressionTargetFile", 0, 0, 49, 0, 0, 49
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\armor.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\cyberware.png", "compressionTargetFile", 0, 0, 48, 0, 0, 48
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\cyberware.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\drone.png", "compressionTargetFile", 0, 0, 52, 0, 0, 52
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\drone.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\gun.png", "compressionTargetFile", 0, 0, 48, 0, 0, 48
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\gun.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\hack.png", "compressionTargetFile", 0, 0, 53, 0, 0, 53
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\hack.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\infusion.png", "compressionTargetFile", 0, 0, 52, 0, 0, 52
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\infusion.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\meele.png", "compressionTargetFile", 0, 0, 54, 0, 0, 54
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\meele.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\rite.png", "compressionTargetFile", 0, 0, 53, 0, 0, 53
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\rite.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\spell.png", "compressionTargetFile", 0, 0, 54, 0, 1, 55
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\KitSymbols\spell.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\AR.png", "compressionTargetFile", 0, 0, 50, 0, 0, 50
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\AR.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Chest.png", "compressionTargetFile", 0, 0, 39, 0, 0, 39
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Chest.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Feet.png", "compressionTargetFile", 0, 0, 38, 0, 0, 38
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Feet.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Hand.png", "compressionTargetFile", 0, 0, 39, 0, 0, 39
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Hand.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Head.png", "compressionTargetFile", 0, 0, 39, 0, 0, 39
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Head.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Upper Arm.png", "compressionTargetFile", 0, 0, 40, 0, 0, 40
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\Upper Arm.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\forearm.png", "compressionTargetFile", 0, 0, 38, 0, 0, 38
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\Condition\forearm.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\allGUI.png", "compressionTargetFile", 0, 0, 251, 0, 4, 255
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\allGUI.png.import", "Properties", 0, 29, 0, 0, 6, 35
"c:\Users\user\Documents\GitHub\PatnicRoom-Developer-Edition\Media\GUI\Panicmode\background\Unbenannt.png", "compressionTargetFile", 0, 0, 37125, 0, 199, 37324
